Index,0 [INT] [0xC],1 [UBYTE] [0x24],2 [USHORT] [0x20],3 [USHORT] [0x22],4 [INT] [0x10],5 [INT] [0x14],6 [INT] [0x18],7 [STRING] [0x0],8 [STRING] [0x4],9 [STRING] [0x8],10 [INT] [0x1C],11 [BBOOL] [0x25]
2162744,4879627,58,1800,459,44,81614,81114,"札尔神祠","听某位圣职者所说的传闻。只需静静地祈祷，便可获得来生的利益。如暴雨般的忏悔之泪定能挽救人的灵魂。","供奉双子神中的札尔神的神祠。札尔掌管着死后的世界，向其上供可以保佑来生的财富。为了进行节食祈祷，这里还设有纳尔札尔教团祈祷时用的设施。过去曾有很多前来巡礼参拜的人，可是近些年来人数下降了不少。",81453,false
2162745,4879628,58,500,759,45,81615,81115,"纳尔神祠","听某位圣职者所说的传闻。只有隆重地祈祷，才能获得现世的利益。向在雾中彷徨的灵魂进行布施，便能够拯救他们吧。","供奉双子神中的纳尔神的神祠。由于纳尔所掌管的是现世的利益，所以人们都认为诚心参拜后会有好事发生在自己身上。可是富裕阶层的人仅仅靠购买密尔瓦内斯礼拜堂贩卖的护身符即可满足，所以几乎没有人来参拜神祠。",81453,false
2162746,4879629,22,500,759,45,81616,81116,"不悔战阵","听某位士兵所说的传闻。荒野的风甚至能够切割岩石。风化的岩柱之上是专注监视敌军战阵的好位置。","蜥蜴人军的战阵。名字中的“不悔”表明了蜥蜴人战士永不退却的精神。他们把蛮神伊弗利特焚烧过的南萨纳兰赞拉克地区当做圣地。在历史上，蜥蜴人族和乌尔达哈也有过很多冲突。",81453,false
2162747,4879630,22,1200,1659,45,81617,81117,"工艺神击","听某位采矿工所说的传闻。虽然强烈的日照与高热的地面会让人很快便精疲力竭，但是古代亚拉戈遗迹的吸引力，就犹如宝山一样会令人无法自拔。","艾玛吉娜矿山公司为了从沙漠之中挖掘出古亚拉戈时代遗迹而设置的大型挖掘机。原本是希望这台机器能够像工艺神的大锤一样打出无比强悍的一击，可惜由于耐热性不是很好，总是会出现这样那样的问题。",81453,false
2162748,4879631,22,1200,1659,45,81618,81118,"喀恩埋没圣堂","从酒馆听到的传闻。想要研究当年的构造时，通过倾斜的墙面登上高处会比较快。","古代贝拉哈迪亚城邦时代的遗迹。这里曾是贝拉哈迪亚祭拜太阳女神阿泽玛的神殿，历代国王为了展示自己的权利，曾多次改造神殿。",81453,false
2162749,4879632,30,500,759,45,81619,81119,"牛魔里程","听某位士兵所说的传闻。在因为一点点热浪就停止训练的都是蠢货。真正的男子汉，要将坚韧的毅力和刚强的肉体结合到一起。","为了对抗东阿尔迪纳德商会的庞大资本，中小规模的旅行商人们组成了一个名为“商队互助会”的组织，这里便是组织交易所之一。此处交易所建立在第七灵灾之后，是为了与危险的撒沟厉沙漠方面进行贸易而专门建立的。",81453,false
2162750,4879633,31,500,759,46,81620,81120,"东侧监视塔","听某位士兵所说的传闻。站岗时最大的敌人便是自己的睡意。当头脑有些不清醒时，走到旗帜的尖端敬一次礼，睡意应该就会消散了。","用于监视帝国南方堡的监视塔。帝国南方堡由加雷马帝国第十四军团建造，是确保魔导兵器燃料资源供应的采掘据点。恒辉队驻守此监视塔，不分日夜地监视着采掘据点的状况。",81453,false
2162751,4879634,22,1800,459,46,81621,81121,"青磷水输送管","听某位士兵所说的传闻。整备格子铁门非常花时间，晴天的时候视野还好说，可是一旦不小心将铁门放了下去就会出大事了。","向精炼所输送青磷水的管道。现在在艾欧泽亚需要利用青磷水的装置越来越多，从飞空艇到各种机械，燃料的需求量明显增大。为此艾玛吉娜矿山公司也花费了巨资来增加设备。",81453,false
2162752,4879635,22,1200,1659,46,81622,81122,"蓝雾","听某位工作员所说的传闻。即使到现在也没有适应那种蓝色的雾气，不过雾散天晴的时候，翘掉工作到高处遥望溪谷真的是一种不错的享受。","北萨纳兰的溪谷地带是在艾欧泽亚数一数二的青磷水储存地。在获取青磷水的时候产生的气体，使得周边被蓝雾笼罩，也因此成为了此地的景点。",81453,false
2162753,4879636,22,800,1159,46,81623,81123,"劳班缓冲地","听某位士兵所说的传闻。即使云层密布之时，卫月的爪痕也依旧摄人心魄。站岗放哨时一定要针对那里仔细检查。","趁着第七灵灾混乱之际，帝国军向北萨纳兰发起了进攻，然而恒辉队的劳班局长却在战力处于劣势的状况下依旧奋战到底，终于成功守住了青磷精炼所。战后，两阵营之间的中间地带便被称作劳班缓冲地。",81453,false
2162754,4879637,22,1800,459,46,81624,81124,"艾玛吉娜秘银废矿","听某位冒险者所说的传闻。之前曾被一群可疑的家伙抓到过，后来在大雾的掩护下，通过围栏柱子坏掉的地方逃了出来。","在20年前左右被放弃的废矿。这里的秘银矿脉曾经非常丰富，是为艾玛吉娜矿山公司带来“秘银热”的重要舞台，可惜后来矿脉逐渐枯竭，最终被放弃了。现在，这里则变成了邪教集团“最后之民”的秘密基地。",81453,false
2162755,4879638,22,1700,1759,63,81651,81151,"剑峰","听某位技术工所说的传闻。整备作业经常要忙到太阳落山，完全没有欣赏周围景色的空闲。","矗立于库尔札斯中央高地的高峰。据正教的圣典记载，战争女神哈罗妮挥剑刺入天空，从而将天界与地面彻底隔离。不过由于卫月的碎片刺入了山间，使得这把利剑的剑刃有些变形了。",81454,false
2162756,4879639,22,1800,459,63,81652,81152,"阿德内尔占星台","从酒馆听到的传闻。一不小心从高处掉了下来，本以为死定了，却被吊灯救了一条命，真是九死一生。","配备有全艾欧泽亚最大天体望远镜的占星台。在观测天体运动的同时也承担着预测龙族动向的工作。据说占星台的名字来源于伊修加德历史上最伟大的占星学家。",81454,false
2162757,4879640,22,800,1159,63,81653,81153,"龙族遗骸","听某位骑兵所说的传闻。每次看到那条尸体时，无论天气多么寒冷，都会立刻想到用弩炮贯穿巨龙的瞬间，顿时就会热血沸腾了。","被白云崖前哨的对龙弩炮打下的龙族的遗骸。在库尔札斯的严寒气候中结冰，基本没有腐烂。远远看去还以为是一只龙在雪中沉睡。",81454,false
2162758,4879641,22,500,759,63,81654,81154,"皇都伊修加德","听某位骑兵所说的传闻。故乡的城堡耸立在苍天之下，遥遥望去，心头的信念会变得更加坚定，无论前方的战斗多么严峻，我们也不能舍弃保家卫国的决心。","伊修加德是一座宗教城邦。为了防范龙族的袭击，城墙不但分为多个等级，上面还布有多重魔法屏障，同时成群的高耸尖塔上都设有对龙弩炮。因为伊修加德正教的教皇居住于此，所以此地也被称为皇都。",81454,false
2162759,4879642,22,1700,1759,63,81655,81155,"巨石丘","听某位骑兵所说的传闻。就算是巨大无比的赤色岩石，在这里也能看到其完整的全貌。","剑锋山麓的广阔山丘，过去有很多巨大的岩石点缀于此，因此得名“巨石丘”。灵灾之后，原本覆盖于卫月外壳上的暗物质附着在这片山丘上，形成了一种新的奇妙岩石。",81454,false
2162760,4879643,22,1800,459,63,81656,81156,"战争神秘石","听某位骑兵所说的传闻。站在神圣的秘石之前能够感受到来自天空的视线。浑身都会紧张得无法自控。","显现出战争神哈罗妮的神印的神圣之石。对尊崇哈罗妮为主神的伊修加德正教来说，这块秘石所在的洞穴是重要的圣地。因此，他们在这里建造了秘石塔，严加看守。",81454,false
2162761,4879644,22,800,1159,63,81657,81157,"披雪大冰壁","听某位调查员所说的传闻。可能只有留在这边的人才会认为那里是西方的尽头吧。即使是晴朗的日光，也无法令冻结的泪水融化。","第七灵灾引发的属性变动，使得库尔札斯地区以异常的速度变成了冰天雪地。仅仅5年的时间，奔流江和双子池的水便被冰结，形成了擎天的大冰壁。同时通往库尔札斯西部的陆路也被隔断了。",81454,false
2162762,4879645,22,1200,1659,63,81658,81158,"巨龙首营地","听某位骑兵所说的传闻。每次上屋顶除雪都是重体力劳动，不过视野开阔倒是很不错的回报。让白色的屋顶变回原本的绿色是我们持续不断的任务。","守卫皇都伊修加德的据点。名门福尔唐家的骑兵团驻守于此，对龙族和异端者、还有来自东方的入侵者鸟人族保持着警戒。据点的名字来自于附近的一块酷似龙头的巨大岩石。",81454,false
2162763,4879646,22,500,759,63,81659,81159,"钢卫塔","从酒馆听到的传闻。想要知道钢卫塔的情况，需要从塔的下方小心翼翼地观察。","对龙城塞，但现在已被破坏。这座塔原本和西方的石卫塔遥相呼应，共同构成了伊修加德的防卫双壁。但在黄龙斯瓦拉率领的龙族攻势下化作了一片废墟，现在只留下了一部分的外墙。",81454,false
2162764,4879647,22,1200,1659,67,81701,81201,"帝国中央堡","听某位逃兵所说的传闻。基地的内部设有转运站，每天都能看到很多物资进进出出。","加雷马帝国军的资源采掘据点。当初奈尔率领第七军团在这里建立起了帝国军新堡，灵灾之后新堡被第十四军团改造成了现在的中央堡。在基地内部还铺有运送矿石的铁路，以及“魔列车”的停车场。",81455,false
2162765,4879648,22,1800,459,67,81702,81202,"水晶塔","听某位冒险者所说的传闻。从草木都结晶化了的地方，能够看到一座水晶组成的擎天柱。","在第七灵灾中突然出现在地表上的水晶巨塔。根据学术组织圣寇伊纳克财团的调查，这座塔本来是古代亚拉戈文明制造的能量收集装置，曾被称作“希尔科斯塔”。",81455,false
2162766,4879649,22,1200,1659,67,81703,81203,"早霜顶","听某位冒险者所说的传闻。大规模结晶化现象使得这片地区变成了青蓝色。站到水晶上的视野非常不错。","飞空战舰阿格里俄斯号的坠落导致这片地区出现了大规模的结晶化现象。甚至草木都变成了结晶的形态，在这里行走会听到脚下传来的咔嚓咔嚓声，仿佛走在寒霜之上。",81455,false
2162767,4879650,50,1700,1759,67,81704,81204,"密约之塔","从酒馆听到的传闻。阿格里俄斯号很值得一看，不过湖边很危险，爬到树上才能够安心眺望。","加雷马帝国军的飞空战舰阿格里俄斯号坠落于此，舰首向下没入了湖中，宛如一尊巨塔。古时起就守护着银泪湖的尘世幻龙的尸体则缠在这艘战舰上面。",81455,false
2162768,5927558,22,0,0,0,81751,81251,"隼巢","位于库尔札斯西部高地的某处。
放眼望去，所见之景将被后世传颂。
","位于库尔札斯西部高地的由哨兵的营房发展而来的山村。因第七灵灾后气候极具变冷导致多数居民被冻死，伤亡惨重。曾经为了戒备龙族袭击，村中有驯鹰人常驻并饲养了许多白隼，村名由此而来。",81454,false
2162769,5927559,22,0,0,0,81752,81252,"交汇河营地","位于库尔札斯西部高地的某处。
放眼望去，所见之景将被后世传颂。
","伊修加德的骑兵团曾经驻扎的露营地。曾经是配备了以太之光的据点，但灵灾后被废弃了。因坐落于库尔札斯河和奔流江的交汇处，名字中也体现了河流交汇之处的意思。",81454,false
2162770,5927560,22,0,0,0,81753,81253,"卧龙岛","位于库尔札斯西部高地的某处。
放眼望去，所见之景将被后世传颂。
","坐落在已冻结成冰的灰烬池上的岛屿。传说为了镇压强大的龙族，教皇厅的法术团用魔法将其催眠，不知何时其周身被灰烬覆盖化作岩石，最终成为了一座岛屿。",81454,false
2162771,5927561,22,0,0,0,81754,81254,"暮卫塔","位于库尔札斯西部高地的某处。
放眼望去，所见之景将被后世传颂。
","伊修加德的对龙要塞暮卫塔。尤埃尔默里克指挥官曾率领狄兰达尔家的骑兵团在此驻扎，但在灵灾时城墙的一部分崩塌了。之后因气候极具变冷导致暮卫塔被冰封锁，如今已经成为了魔物的巢穴。",81454,false
2162772,5927562,22,0,0,0,81755,81255,"戈尔加涅牧场","位于库尔札斯西部高地的某处。
放眼望去，所见之景将被后世传颂。
","侍奉于狄兰达尔家的骑士戈尔加涅建造的牧场。据说他作为狄兰达尔家长男的武术老师为培养爱徒倾注了心血，在爱徒失踪后万念俱灰决定引退，之后建造了这座牧场。",81454,false
2162773,5959933,22,0,0,0,81756,81256,"铁杉村","位于库尔札斯西部高地的某处。
放眼望去，所见之景将被后世传颂。
","位于库尔札斯西部高地的废村。从前是以周边林业为生的樵夫们居住的村落，灵灾后因气候极具变冷而人去楼空。“铁杉村”的村名源于此地区特有的铁杉。",81454,false
2162774,5959936,22,0,0,0,81757,81257,"大脚雪人居所","位于库尔札斯西部高地的某处。
放眼望去，所见之景将被后世传颂。
","大脚雪人的居所。由于漏斗形的山崖可以抵御寒风侵袭，大脚雪人便自然而然地聚集到了这里。不过似乎至今还没有强大的头领出现，虽然聚集在一起但并不团结，依旧保持个体的自由行动。",81454,false
2162775,5927563,22,0,0,0,81801,81301,"唯一脑窟穴","位于龙堡参天高地的某处。
放眼望去，所见之景将被后世传颂。","优秀的狩猎民族骨颌族居住的村落。其中遍布由分泌液与土的混合物建造而成的像是蚁穴的房屋。据说建筑物中焚烧了特殊的香草，从烟囱中飘出的烟有驱赶龙族的效果。",81456,false
2162776,5927564,22,0,0,0,81802,81302,"不洁村落","位于龙堡参天高地的某处。
放眼望去，所见之景将被后世传颂。","疑似城市的遗迹。伊修加德教皇厅称这是异端者势力建造的不洁村落，毁灭于战神哈罗妮降下的神罚。至于事实是否如教皇厅所言如今还没有定论。",81456,false
2162777,5927565,22,0,0,0,81803,81303,"不洁三塔","位于龙堡参天高地的某处。
放眼望去，所见之景将被后世传颂。","被伊修加德正教视为魔女们建造的异端之塔。其中配备了可供人类和龙族停泊的设备，建筑风格极为罕见。现在已经成为了龙族的居所。",81456,false
2162778,5927566,22,0,0,0,81804,81304,"悲叹飞泉","位于龙堡参天高地的某处。
放眼望去，所见之景将被后世传颂。","曾是坐落于索姆阿尔灵峰山脚的巨大古代建筑物。如今已被破坏并被河流吞没，是魔物和野兽的珍贵水源。龙族为了捕捉魔物和野兽也会在此出没。",81456,false
2162779,5927567,58,0,0,0,81805,81305,"光轮祭坛","位于龙堡参天高地的某处。
在此处献上祈祷，所见之景将被后世传颂。","位于流淌着岩浆的彻悟岩窟底端的祭坛。摆放着依照龙族和人类女性雕刻而成的雕像，但人类女性雕像似乎在很久以前就遭到了破坏。从此垂直向上望去，可以看到浮在空中的索姆阿尔灵峰底部。",81456,false
2162780,5959938,22,0,0,0,81806,81306,"尾羽集落","位于龙堡参天高地的某处。
放眼望去，所见之景将被后世传颂。","猎人们的村落，他们为了捕捉野生陆行鸟而来到了秘境——陆行鸟之森。七天树繁茂的树冠挡住了盘旋在上空的龙族的视线，所以人类可以在此处生活。",81456,false
2162781,5959940,22,0,0,0,81807,81307,"索姆阿尔灵峰","位于龙堡参天高地的某处。
放眼望去，所见之景将被后世传颂。","坐落于阿巴拉提亚山脉的艾欧泽亚最高峰。知晓死期的龙族会来到这里，是龙族的终焉之地，也被称为圣地。由巨大的水晶构成，从山腰到山顶都浮在空中，有种极致的美感。",81456,false
2162782,5927570,22,0,0,0,81815,81315,"莫古力之家","位于翻云雾海的某处。
放眼望去，所见之景将被后世传颂。","坐落于艾欧泽亚最高峰索姆阿尔灵峰峰顶的莫古力族的村落。虽然翻云雾海算是龙族的领地，但当地的莫古力族与圣龙赫拉斯瓦尔格立下了盟约，所以可以在此地生活。",81456,false
2162783,5927571,22,0,0,0,81816,81316,"龙巢神殿","位于翻云雾海的某处。
放眼望去，所见之景将被后世传颂。","邪龙尼德霍格居住的龙巢。在邪龙的魔力的作用下，周边被雷云覆盖无法轻易接近。尼德霍格在结束了数十年至一百年为周期的活动进入休眠期时，似乎会在此处沉睡。",81456,false
2162784,5927572,22,0,0,0,81817,81317,"惋惜之晶遗迹","位于翻云雾海的某处。
放眼望去，所见之景将被后世传颂。","名字中带有一股哀伤之意的遗迹。被破坏的建筑物有一半被水晶埋没。从结晶量可以推测出，很可能曾有拥有七大天龙级别魔力的生命在此消逝……",81456,false
2162785,5927573,22,0,0,0,81818,81318,"天极白垩宫","位于翻云雾海的某处。
放眼望去，所见之景将被后世传颂。","坐落于圣龙赫拉斯瓦尔格领地的壮丽的宫殿。和圣龙立下盟约的云海莫古力族会对此地进行维护，但还是敌不过千年的时光，建筑渐渐风化。即便如此，这座建筑依旧拥有着震撼人心的美丽。",81456,false
2162786,5927574,58,0,0,0,81819,81319,"人王像","位于翻云雾海的某处。
在此处献上祈祷，所见之景将被后世传颂。","坐落在绿茵岛相邻浮岛上的巨大的人物雕像。莫古力族似乎将此像的原型当做地上人类之王，将其称为人王像。不过如今记录早已丢失，不知此像究竟象征何人。",81456,false
2162787,5959944,22,0,0,0,81820,81320,"书信之家","位于翻云雾海的某处。
放眼望去，所见之景将被后世传颂。","疑似很久很久以前人类与龙族合作建造的建筑物，如今大半已化为瓦砾。因为建筑物中到处刻有文字，所以当地的莫古力族将其称为书信之家。据说千年前的遗物如今仍然遗落在那里。",81456,false
2162788,5959946,22,0,0,0,81821,81321,"飞龙港","位于翻云雾海的某处。
放眼望去，所见之景将被后世传颂。","莫古力族传说中的空中港口，有许多人为了骑乘双足飞龙而来。建筑物十分坚固，如今依然残留了一部分，但居住在那里的龙族几乎全是会袭击人类的邪龙眷属。",81456,false
2162789,5927575,22,0,0,0,81851,81351,"云顶营地","位于阿巴拉提亚云海的某处。
放眼望去，所见之景将被后世传颂。","艾因哈特家的蔷薇骑兵团驻扎的据点。为了从高空监视龙族而建立在浮岛上的营地。配备了新造飞空艇捍卫者号，但因为故障不断而毫无战斗力。",81457,false
2162790,5927576,13,0,0,0,81852,81352,"候鸟云巢","位于阿巴拉提亚云海的某处。
在此小憩，所见之景将被后世传颂。","有一些候鸟会随着季节变化往来于近东地域与艾欧泽亚,为了躲避严寒,那些怪鸟在这里搭建了巢穴,它们在此产卵、养育后代。在雏鸟们学会飞行后便会离开巢穴向东飞去。",81457,false
2162791,5927577,22,0,0,0,81853,81353,"沃仙曦染","位于阿巴拉提亚云海的某处。
放眼望去，所见之景将被后世传颂。","在水属性水晶的作用下由大气中的水分聚集而成的泉水。骑兵们发现这美丽的泉水后，觉得就如同吟游诗人传颂的传说中的美景圣地“沃仙曦染”一般美丽，便以此为名称呼下去。",81457,false
2162792,5927578,22,0,0,0,81854,81354,"魔窟离岛","位于阿巴拉提亚云海的某处。
放眼望去，所见之景将被后世传颂。","魔窟离岛的名字在瓦努语中有着高处的声音的意思。岛上留有一座刻有莫古力族喜欢的图案的石碑，但岛上并没有莫古力族的踪影。不知这里究竟拥有着怎样的历史。",81457,false
2162793,5927579,22,0,0,0,81855,81355,"落羽大房","位于阿巴拉提亚云海的某处。
放眼望去，所见之景将被后世传颂。","瓦努族的圣地之一，据讲述传说的人所说，这里曾飘落下云神俾斯麦的羽毛。如今温杜族长老的宅邸建立在此地作为其权利的象征。",81457,false
2162794,5959948,22,0,0,0,81856,81356,"瓦纳温杜集落","位于阿巴拉提亚云海的某处。
放眼望去，所见之景将被后世传颂。","瓦努族主要氏族温杜族的根据地。“瓦纳”在瓦努语中有“高处”的意思。当地居民认为越高的地方越容易将自己的声音传达给云神，所以高海拔的地方对他们来说有着重要的意义。",81457,false
2162795,5959950,22,0,0,0,81857,81357,"亨格坩埚","位于阿巴拉提亚云海的某处。
放眼望去，所见之景将被后世传颂。","位于阿巴拉提亚云海东部有着奇怪形状的浮岛。在发现了这座浮岛的伊修加德骑士眼中，这座浮岛形状和库尔札斯地区的童谣中的魔女亨格所用的坩埚很像，便将其命名为亨格坩埚。现在是巨嘴鸟的栖息地。",81457,false
2162796,5927586,22,0,0,0,81808,81308,"宗匠大工房","位于龙堡内陆低地的某处。
放眼望去，所见之景将被后世传颂。","曾是聚集了萨雷安工匠的大工房。此地曾经生产过以太之光。但是如今被企图独占知识的哥布林族科学家组织青蓝之手占领，似乎他们正在将此地改造成要塞。",81456,false
2162797,5927587,22,0,0,0,81809,81309,"萨雷安治学区","位于龙堡内陆低地的某处。
放眼望去，所见之景将被后世传颂。","萨雷安辖区中沙利亚克河西岸的地区。曾经有许多研究员和学者聚集在此地区。圣茉夏娜植物园等研究以及教育机关也集中在此。曾经充满了学术城邦的气息。",81456,false
2162798,5927588,22,0,0,0,81810,81310,"先贤伟业纪念碑","位于龙堡内陆低地的某处。
放眼望去，所见之景将被后世传颂。","为了纪念那些逝去的将知识传承下去的先人们，为了铭记他们的伟业而建造的大石碑。上面铭刻了知识之都萨雷安的格言“知识不求人”以及历代大贤人的名字。",81456,false
2162799,5927589,22,0,0,0,81811,81311,"知识神水瓶","位于龙堡内陆低地的某处。
放眼望去，所见之景将被后世传颂。","沙利亚克河的大瀑布。阿巴拉提亚山脉的积雪溶化后成为了地下水，与山下无数的支流汇合流入低地形成一条大河。其名字由知识神沙利亚克拥有的可以生成知识之水的魔法水瓶而来。",81456,false
2162800,5927590,22,0,0,0,81812,81312,"迦巴勒幻想图书馆","位于龙堡内陆低地的某处。
放眼望去，所见之景将被后世传颂。","殖民城市萨雷安为保管各地集聚的知识而建造的大图书馆。在大撤退时重要的资料都被带回了北洋的祖国，不过现在地下的禁书库中依旧保管着少量书籍。",81456,false
2162801,5959952,22,0,0,0,81813,81313,"奥恩原生林","位于龙堡内陆低地的某处。
放眼望去，所见之景将被后世传颂。","延伸在龙堡内陆低地北部的原生林。水量丰富的沙利亚克河滋润着当地的土地，保留了原汁原味的自然生态。如果想不经由龙堡参天高地前往萨雷安，就需要沿河而上穿过这片原生林。",81456,false
2162802,5959954,22,0,0,0,81814,81314,"圣茉夏娜植物园","位于龙堡内陆低地的某处。
放眼望去，所见之景将被后世传颂。","萨雷安人建立的植物园的遗址。内部的温室中栽培着从世界各地采集而来的植物和草木纲的魔物，人们在此进行各种各样的学术研究。不过植物园在大撤退时被废弃，现在没有任何人在管理。",81456,false
2162803,5927581,22,0,0,0,81858,81358,"飞空战舰格拉提翁号","位于魔大陆阿济兹拉的某处。
放眼望去，所见之景将被后世传颂。","加雷马帝国第六军团的旗舰。是与飞空战舰阿格里俄斯号同型号的战舰。受到冰神希瓦的拼死攻击后，舰载青磷炉被带有魔力的冰包裹住而陷入了无法航行的状态。",81457,false
2162804,5927582,22,0,0,0,81859,81359,"无限回廊","位于魔大陆阿济兹拉的某处。
放眼望去，所见之景将被后世传颂。","古代亚拉戈帝国的博物战舰。为将这千年大帝国的遗产永远地保存下来而建造了这艘战舰。据说其内部保留着从日用品到最新军用兵器等各种物品，甚至还有极其危险的魔科学产物。",81457,false
2162805,5927583,22,0,0,0,81860,81360,"对偶处刑台","位于魔大陆阿济兹拉的某处。
放眼望去，所见之景将被后世传颂。","被囚禁的七大天龙之中的暗龙提亚马特。过去曾与光龙巴哈姆特一起在南方大陆生活，但在和亚拉戈帝国军的战斗中败北。至今依然在后悔将因反抗而死的光龙作为蛮神召唤出来。",81457,false
2162806,5927584,22,0,0,0,81861,81361,"魔科学研究所","位于魔大陆阿济兹拉的某处。
放眼望去，所见之景将被后世传颂。","古代亚拉戈帝国的研究设施。曾在这里进行过封锁龙族行动的拘束装置的开发以及对蛮神封印系统的研究。也曾进行过对蛮神兵器的研究，研究所内部潜伏着许多被废弃的实验体。",81457,false
2162807,5927585,22,0,0,0,81862,81362,"螺旋港","位于魔大陆阿济兹拉的某处。
放眼望去，所见之景将被后世传颂。","阿济兹拉配备的巨大港湾设施。由导航系统的解说得知，似乎是可以容纳诸神黄昏级拘束舰等级的巨大舰艇的港湾设施。据说过去在设施中存在着更多的对接环。",81457,false
2162808,5959957,22,0,0,0,81863,81363,"隔离实验岛","位于魔大陆阿济兹拉的某处。
放眼望去，所见之景将被后世传颂。","位于魔大陆阿济兹拉一角的浮岛。整座浮岛就是一个隔离未能达到魔科学部安全基准的危险合成生物的设施。根据记录可知，这里似乎曾经是进行作物品种改良的农业研究所。",81457,true
2162809,5959961,22,0,0,0,81864,81364,"重组实验室","位于魔大陆阿济兹拉的某处。
放眼望去，所见之景将被后世传颂。","亚拉戈帝国魔科学部旗下的研究设施，进行了各种合成生物的开发。根据导航系统的解说可以得知，这里以进行非常安全且独特的实验而备受好评，但却让人禁不住对此番言论深表怀疑。",81457,true
